CODGEO;P22_POP;P16_POP;SUPERF;NAIS1621;DECE1621;P22_MEN;NAISD24;DECESD24;P22_LOG;P22_RP;P22_RSECOCC;P22_LOGVAC;P22_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P22_EMPLT;P22_EMPLT_SAL;P16_EMPLT;P22_POP1564;P22_CHOM1564;P22_ACT1564;ETTOT24;ETAZ24;ETBE24;ETFZ24;ETGU24;ETOQ24;ETTEF124;ETTEFP1024
01083;1041;898;12.63;64;27;408;6;6;441;408;12;21;330;384;s;25580;s;202.904883859072;122.753646269059;166.812826000489;674;31;572;37;2;5;13;15;2;31;2
01084;943;833;13.42;81;25;355.290076584719;8;6;388.885437409461;355.290076584719;15.270618556701;18.3247422680412;302.52878340459;342;s;24050;s;62.7850656691565;32.4097451784793;86.3554217045103;557.66794076086;26.7679933947148;458.570182249159;15;1;1;5;5;3;15;0
01085;391;387;13.37;18;12;157;1;2;180;157;2;21;131;151;s;26330;s;48.5186370746533;24.7803843701061;55.069424521153;245;5;212;14;5;0;1;6;2;13;0
01087;280;285;18.27;15;16;124.565213892169;0;3;178.333169693274;124.565213892169;26.3767330345043;27.3912227666006;100.995891528099;118;s;27320;s;29.8351533473894;24.9149899248749;29.4829782019917;175.063137645947;10.069654636576;132.912352906288;5;1;0;0;2;2;5;0
01088;925;923;6.62;72;19;383.696037930865;11;3;426.538227887016;383.696037930865;26.900909972467;15.9412799836841;334.510967204321;380;s;28140;s;191.116451074735;143.986203779638;224.335247826802;630.851948271626;24.6112231433641;511.691094003327;37;1;3;8;22;3;28;6
01089;2408;2080;16.06;171;59;925.780504411941;28;13;985.918240972713;925.780504411941;22.5516512102895;37.5860853504825;710.060287629208;896;62,0;25170;s;989.22024196997;843.53194023511;718.892644146355;1519.86371092401;81.3078704153158;1211.81109322934;115;3;19;29;61;3;77;29
01090;358;333;14.95;19;19;154.637673826087;6;2;171.94490274175;154.637673826087;9.16265060240967;8.14457831325304;123.922714201842;154;s;24090;s;39.0142114085026;25.8490639263768;57.4216523557784;201.303532331735;12.0533715972988;158.682209829037;18;3;0;4;7;4;17;0
01092;1675;1574;14.01;120;49;669.136686785089;18;8;764.747557479222;669.136686785089;48.3307698014296;47.2801008927028;565.023876940749;674;s;25470;s;204.428060826595;152.765838423738;214.478388118967;1030.11573556046;49.0254464702096;827.433609101415;25;1;2;6;13;3;20;2
01093;5154;4886;17.98;229;569;2468.05684973422;54;85;2793.95897538447;2468.05684973422;63.4240663690592;262.478059281183;1297.14111668056;2349;52,0;23430;10,0;3162.82201567924;2747.38369699207;2839.08140263814;2897.58305081405;201.580223920198;2280.31296473371;261;4;30;27;170;30;176;56
01094;746;750;16.55;32;49;326.673066565173;5;8;389.617118446394;326.673066565173;25.1776207524884;37.7664311287326;288.966293170171;320;s;23460;s;86.7541720467231;54.1359076122033;82.5204904916438;480.273236040636;27.7926284670137;391.694534972175;12;4;0;3;3;2;9;1
01095;822;805;30.98;50;26;370;3;5;487;370;57;60;266;343;s;23260;s;149.074686575133;114.0999303213;106.401647215502;507;31;399;14;3;4;2;2;3;12;1
01096;1057;1006;16.87;63;36;424.146021419029;11;7;462.405329999427;424.146021419029;16.7384475039243;21.5208610764741;334.837235272093;410;s;23940;s;184.977732174427;107.811268546935;154.216250745889;650.564851082255;28.9093026400919;531.059183063126;25;5;4;5;9;2;19;3
01098;1165;1079;15.44;81;45;484.028639639425;13;10;582.240670975807;484.028639639425;35.6344538477136;62.5775774886678;379.893309841934;460;s;22520;s;412.348477149888;350.936358872611;435.646217066559;685.782822715909;41.5047469939068;519.399479232501;53;2;7;9;33;2;35;14
01099;1613;1513;21.95;92;62;721.125773114537;16;11;778.729939781204;721.125773114537;25.7161458333333;31.8880208333332;516.401245497396;674;s;26780;s;293.286298362826;195.18578815051;311.763277455103;1037.03448253304;56.1229082861274;852.251866171324;39;1;1;4;26;7;30;5
01100;130;136;6.26;4;8;73.4351145038168;0;0;118.810114503817;73.4351145038168;27.2249999999999;18.1499999999999;58.5496183206107;74;s;21090;s;5.93215478207601;2.99969047352188;10.9550152481217;64.5038167938931;8.93129770992366;49.618320610687;3;1;0;1;0;1;3;0
01101;149;153;6.67;13;8;67.6381578947368;0;2;93.3881578947368;67.6381578947368;11.8846153846154;13.8653846153846;54.8947368421053;71;s;26800;s;8.82236842105263;1.96052631578947;22.6658305947621;97.046052631579;0;87.2434210526316;1;0;0;0;0;1;1;0
01102;981;957;17.2;59;35;396.23411479341;13;6;432.769738589904;396.23411479341;18.61248759444;17.9231362020533;335.821155592517;399;s;23750;s;134.955954154331;88.3179587721822;119.974019133095;626.051469158664;25.6132718044749;520.00803056595;22;5;2;3;9;3;19;3
01103;2301;1643;5.84;151;24;909.462010440753;22;4;1026.32043168437;909.462010440753;37.9000285114435;78.958392732174;629.192189382431;769;s;44010;s;179.956246044045;141.552790047984;116.540206927825;1548.55900507318;90.243981776939;1308.26340520939;15;3;1;3;3;5;8;5
01104;436;460;46.57;24;23;199;5;3;396;199;137;60;150;196;s;25230;s;75.8963398222388;51.8510176448347;94.0444572336867;278;12;230;17;1;3;2;8;3;12;1
01105;1986;1606;19.76;153;39;761.643344003354;21;6;818.068444864584;761.643344003354;21.7019618697038;34.7231389915261;595.708143154293;728;s;28920;s;819.252463780675;678.731631236861;427.623885114916;1304.03548117339;59.7070921983355;1082.50214120413;111;7;17;21;60;6;62;38
01106;175;170;4.52;10;11;79.1899441340782;2;2;96.1899441340782;79.1899441340782;14;3;71.3687150837989;75;s;23440;s;18.7242106109183;11.8329512331413;14.8323300358498;99.7206703910614;7.82122905027933;76.2569832402234;2;0;1;0;0;1;2;0
01107;144;135;7.82;11;4;71;2;1;102;71;20;11;62;64;s;22370;s;10;4;6.96812405526006;81;4;66;2;0;1;0;0;1;1;0
01108;1294;1187;16.87;56;185;582.464244607038;11;25;719.548421941843;582.464244607038;56.724487173023;80.3596901617826;407.264341919211;554;s;23750;s;296.626757841638;231.724331082889;298.509515479702;682.824319662628;37.0840770406554;542.496558436341;33;1;6;3;14;9;25;5
01109;2260;2223;16.25;158;38;933.786751165995;27;8;1078.42737028047;933.786751165995;42.3590384549531;102.281580659521;607.478966757714;814;47,0;33820;11,0;250.786837723102;169.525656497708;226.118922594687;1508.95199953693;121.81999718136;1256.12124712454;47;2;3;11;25;6;34;8
01110;164;131;5.96;12;12;74.6410256410255;0;5;92.6410256410255;74.6410256410255;15;3;56.7692307692307;69;s;20800;s;18.2742416358639;14.0691134307357;22.4072006978653;101.974358974359;9.46153846153845;75.6923076923076;1;0;0;0;0;1;1;0
01111;136;120;15.28;4;4;59.7575757575757;1;2;114.149198149198;59.7575757575757;48.2340802340804;6.15754215754218;46.3636363636364;62;s;21730;s;3.09090909090909;3.09090909090909;11.2313499444149;78.3030303030303;2.06060606060606;63.8787878787879;1;0;0;0;0;1;1;0
